iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
112,0.12070452129247335,0.005719900787903892,0.21633965516769313,1.0,313.7246204880066,2.7816984048113227,1,0,-0.0003136549465177365,200,22400,200,0.07609265062331995,0.0007990956256626702,0.0,3509519445,0
113,0.12040439464568342,0.0057424727396039885,0.22756652393196292,1.0,316.5213372227736,2.796645774040371,1,0,-0.0003213425707619951,200,22600,200,0.07563002570344593,0.0007633442977880728,0.0,2926636075,0
114,0.12010291394069897,0.005697930680340219,0.22153298543235186,1.0,319.3284502266906,2.807035407051444,1,0,-0.0003251117346409297,200,22800,200,0.07577910490104768,0.0008732142793922865,0.0,3278309761,0
115,0.11981853158552057,0.005637798193343874,0.21445062856005687,1.0,322.1301538175903,2.8016269728541374,1,0,-0.0003052427621808828,200,23000,200,0.07548463870444251,0.0008121360663164482,0.0,3091868808,0
116,0.1194880631515793,0.005582212844033576,0.23690765018248694,1.0,324.93545185774565,2.8052237248048186,1,0,-0.00035883745821353643,200,23200,200,0.0750852728126087,0.0008298939801420778,0.0,1989260775,0
117,0.11916748611824984,0.005560594272599788,0.23683340645409418,1.0,327.73047662200406,2.794946819078177,1,0,-0.0003409640248372932,200,23400,200,0.07471420777893302,0.0008681111693629558,0.0,1390728324,0
118,0.11889153940440655,0.005551577279489351,0.2141654535804543,1.0,330.5507759498432,2.8202160042710602,1,0,-0.0003003443657933951,200,23600,200,0.07456939233090067,0.000794944348817248,0.0,2999312051,0
119,0.11859962583278459,0.005411121510322854,0.21955788071655802,1.0,333.37776443967596,2.826914665289223,1,0,-0.0003167089665958836,200,23800,200,0.07450890738354275,0.0008261289645220497,0.0,2739276699,0
120,0.11833247468242968,0.005452364170739607,0.20820282011399732,1.0,336.18322186078876,2.8053841558285058,1,0,-0.00029012181170575985,200,24000,200,0.0735603256540022,0.000767754870421874,0.0,2728135350,0
121,0.11810928097689664,0.005384872279072184,0.18976466396551261,1.0,339.00391056761146,2.8203352261334658,1,0,-0.00023962830790933695,200,24200,200,0.07384012574975483,0.0007017324541002682,0.0,3805690106,0
122,0.11779437427669417,0.005350930039887389,0.2336930016006672,1.0,341.797132239677,2.793149313889444,1,0,-0.00033600405574942254,200,24400,200,0.07338168899032091,0.000829312077353994,0.0,407575753,0
123,0.11749688058919765,0.005340757937702,0.22117999272929026,1.0,344.6207590699196,2.823553984053433,1,0,-0.00032010585009501717,200,24600,200,0.07315005153714786,0.0008494475728618196,0.0,1625860599,0
124,0.11719844202444005,0.005247622533175034,0.22389244663944138,1.0,347.41252170177177,2.7916901339776814,1,0,-0.0003222689314285376,200,24800,200,0.07308048944624003,0.0007796300091042703,0.0,3886084892,0
125,0.11696567956665624,0.005219995020624633,0.1994862397172369,1.0,350.20032117981464,2.787724813912064,1,0,-0.0002492439615421086,200,25000,200,0.07244047579340596,0.0007700707735137279,0.0,2687248392,0
126,0.11671706098143966,0.005160461361577527,0.20900816058905325,1.0,353.0278963558376,2.827498977072537,1,0,-0.00026790647799374907,200,25200,200,0.07224953301319416,0.0007496647665275376,0.0,1678573101,0
127,0.11646863290858026,0.0052080810611500146,0.20744907327207035,1.0,355.8026969698258,2.7747225277125835,1,0,-0.00026710011345142787,200,25400,200,0.07183635125462266,0.000801240858885833,0.0,4038131236,0
128,0.11622926116640793,0.005199554370702469,0.19772004974364105,1.0,358.5875630006194,2.784781799186021,1,0,-0.00026154729064577426,200,25600,200,0.0721670358345832,0.0008018050188454964,0.0,800479298,0
129,0.11601947975297287,0.005167758444926974,0.18773483560241067,1.0,361.37556460592896,2.7879244973883033,1,0,-0.00022815747049968513,200,25800,200,0.07210793555984299,0.0007584958409173117,0.0,866917719,0
